acc,Acidobacteria,Actinobacteria,Apicomplexa,Aquificae,Armatimonadetes,Arthropoda,Artverviricota,Ascomycota,Bacteroidetes,Balneolaeota,Basidiomycota,Caldiserica,Calditrichaeota,Candidatus Cloacimonetes,Candidatus Melainabacteria,Candidatus Saccharibacteria,Candidatus Thermoplasmatota,Chlamydiae,Chlorobi,Chloroflexi,Chlorophyta,Chordata,Chrysiogenetes,Cnidaria,Coprothermobacterota,Crenarchaeota,Cressdnaviricota,Cyanobacteria,Deferribacteres,Deinococcus-Thermus,Dictyoglomi,Duplornaviricota,Elusimicrobia,Euryarchaeota,Fibrobacteres,Firmicutes,Fusobacteria,Gemmatimonadetes,Hofneiviricota,Ignavibacteriae,Kiritimatiellaeota,Kitrinoviricota,Lenarviricota,Lentisphaerae,Mollusca,Negarnaviricota,Nitrospinae,Nitrospirae,Nucleocytoviricota,Oomycota,Peploviricota,Phixviricota,Pisuviricota,Planctomycetes,Proteobacteria,Rhodothermaeota,Spirochaetes,Streptophyta,Synergistetes,Tenericutes,Thaumarchaeota,Thermodesulfobacteria,Thermotogae,Uroviricota,Verrucomicrobia,class
SRR18588865,10.0,986.0,0.0,0.0,0.0,0.0,0.0,0.0,114787.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,106302.0,72272.0,0.0,0.0,42.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,11665.0,1.0,1.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,1523.0,1
SRR18588866,5.0,1420.0,0.0,0.0,1.0,0.0,0.0,0.0,143067.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96853.0,1111.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1023.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2329.0,1
SRR18588867,9.0,1086.0,0.0,0.0,0.0,0.0,0.0,0.0,60272.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64432.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,15813.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5572.0,1
SRR18588868,18.0,4525.0,0.0,1.0,0.0,0.0,0.0,0.0,2064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,211095.0,3.0,0.0,0.0,95.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,67.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,63.0,1
SRR18588869,4.0,605.0,0.0,0.0,0.0,0.0,0.0,0.0,147752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,90870.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,2229.0,0.0,0.0,31.0,1.0,6.0,0.0,0.0,0.0,0.0,1555.0,1
SRR18588870,22.0,586.0,0.0,0.0,0.0,0.0,0.0,0.0,243226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,77530.0,15.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,7229.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,88.0,1
SRR18588871,32.0,632.0,0.0,0.0,0.0,0.0,0.0,0.0,183324.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0,101559.0,4.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,1028.0,1.0,1.0,0.0,0.0,202.0,0.0,0.0,1.0,0.0,329.0,1
SRR18588872,13.0,786.0,0.0,0.0,0.0,0.0,0.0,0.0,50519.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,156615.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4842.0,3.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,815.0,1
SRR18588873,9.0,465.0,0.0,0.0,0.0,0.0,0.0,0.0,172345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,108431.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,0.0,2701.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2416.0,1
SRR18588874,15.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,139316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,67677.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,4587.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,5746.0,1
