acc,Acidobacteria,Actinobacteria,Aquificae,Armatimonadetes,Bacteroidetes,Balneolaeota,Candidatus Thermoplasmatota,Chlamydiae,Chloroflexi,Crenarchaeota,Cyanobacteria,Deferribacteres,Deinococcus-Thermus,Euryarchaeota,Firmicutes,Fusobacteria,Lentisphaerae,Nitrospirae,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Thaumarchaeota,Thermodesulfobacteria,Thermotogae,Verrucomicrobia,class
SRR17641779,0.0,1031.0,0.0,0.0,18307.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9620.0,0.0,5.0,0.0,0.0,1594.0,0.0,7.0,190.0,0.0,0.0,0.0,14.0,1
SRR17641780,0.0,176.0,0.0,0.0,11281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15314.0,0.0,0.0,0.0,0.0,453.0,0.0,0.0,557.0,0.0,1.0,0.0,3.0,1
SRR17641781,0.0,2049.0,0.0,0.0,14915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,7243.0,0.0,1.0,0.0,0.0,1191.0,0.0,7.0,2047.0,0.0,0.0,0.0,92.0,1
SRR17641782,0.0,1179.0,0.0,0.0,6980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11075.0,231.0,3.0,0.0,0.0,2465.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0
SRR17641783,4.0,84.0,0.0,0.0,21419.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3035.0,0.0,0.0,0.0,2.0,2573.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
SRR17641784,1.0,703.0,0.0,0.0,17291.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3504.0,0.0,1.0,0.0,0.0,9500.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
SRR17641785,0.0,472.0,0.0,0.0,33451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3852.0,1.0,0.0,0.0,0.0,1827.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1
SRR17641786,0.0,1478.0,0.0,0.0,8696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4555.0,0.0,0.0,0.0,0.0,8297.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
SRR17641787,0.0,153.0,0.0,0.0,7892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7413.0,0.0,2.0,0.0,0.0,409.0,0.0,0.0,3839.0,0.0,0.0,0.0,33.0,1
SRR17641788,0.0,39.0,0.0,0.0,16025.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5842.0,28.0,0.0,0.0,0.0,7511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641789,0.0,77.0,0.0,1.0,7917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3365.0,2.0,0.0,0.0,0.0,12761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641790,0.0,65.0,0.0,0.0,22737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2793.0,3.0,0.0,0.0,0.0,703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641791,0.0,795.0,0.0,0.0,19787.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5151.0,3.0,0.0,0.0,0.0,2398.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
SRR17641792,0.0,29.0,0.0,5.0,28672.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3962.0,0.0,0.0,0.0,0.0,3083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641793,0.0,566.0,0.0,0.0,24241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6852.0,0.0,0.0,0.0,0.0,1131.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,1
SRR17641794,1.0,823.0,0.0,0.0,26382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8024.0,0.0,0.0,0.0,0.0,829.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641795,0.0,695.0,0.0,0.0,29476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3710.0,0.0,0.0,0.0,0.0,4955.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641796,0.0,594.0,0.0,0.0,26334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4984.0,1.0,0.0,0.0,0.0,2168.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641797,0.0,810.0,0.0,0.0,4307.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,4571.0,21.0,0.0,0.0,0.0,11449.0,0.0,31.0,0.0,0.0,0.0,0.0,1059.0,1
SRR17641798,0.0,1642.0,0.0,5.0,35074.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4275.0,0.0,0.0,0.0,0.0,1731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SRR17641799,0.0,1389.0,0.0,0.0,8568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11740.0,1.0,0.0,0.0,0.0,1345.0,0.0,49.0,0.0,0.0,0.0,0.0,2831.0,1
SRR17641800,0.0,339.0,0.0,0.0,23449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3448.0,0.0,0.0,0.0,0.0,4571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641801,0.0,260.0,0.0,0.0,38002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10325.0,0.0,0.0,0.0,0.0,535.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
SRR17641802,0.0,7738.0,0.0,0.0,5937.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4800.0,8.0,0.0,0.0,0.0,6892.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,1
SRR17641803,0.0,3905.0,0.0,0.0,11948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5254.0,15.0,0.0,0.0,0.0,4616.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,1
SRR17641804,0.0,3715.0,0.0,0.0,19162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3359.0,343.0,0.0,0.0,0.0,2094.0,0.0,27.0,0.0,0.0,0.0,0.0,3295.0,1
SRR17641805,0.0,155.0,0.0,0.0,17627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3633.0,1.0,1.0,0.0,0.0,4618.0,0.0,1.0,41.0,0.0,1.0,0.0,7.0,0
SRR17641806,11.0,3854.0,1.0,0.0,25390.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6395.0,804.0,0.0,0.0,0.0,1735.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0
SRR17641807,0.0,2003.0,0.0,0.0,4701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18197.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1
SRR17641808,0.0,2026.0,0.0,0.0,13822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13655.0,2.0,0.0,0.0,0.0,955.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,1
SRR17641809,0.0,1784.0,0.0,0.0,15919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11707.0,0.0,0.0,0.0,0.0,663.0,0.0,0.0,1.0,0.0,0.0,0.0,87.0,1
