acc,Actinobacteria,Alphaproteobacteria,Bacilli,Bacteroidia,Betaproteobacteria,Chitinophagia,Clostridia,Coriobacteriia,Cytophagia,Deltaproteobacteria,Epsilonproteobacteria,Erysipelotrichia,Flavobacteriia,Fusobacteriia,Gammaproteobacteria,Ignavibacteria,Magnoliopsida,Mammalia,Methanobacteria,Negativicutes,Nitrospira,Spirochaetia,Synergistia,class
SRR11807146,371.0,231.0,496.0,0.0,0.0,1.0,26758.0,2127.0,0.0,0.0,0.0,1587.0,0.0,0.0,26726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807147,201.0,0.0,1405.0,44.0,0.0,0.0,31446.0,5764.0,0.0,0.0,0.0,49.0,0.0,0.0,34152.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
SRR11807148,359.0,330.0,406.0,123.0,0.0,0.0,30173.0,2877.0,0.0,0.0,0.0,21.0,0.0,0.0,32899.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807149,259.0,0.0,530.0,161.0,0.0,0.0,22329.0,5417.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807150,674.0,0.0,1352.0,267.0,0.0,0.0,23324.0,14568.0,0.0,0.0,0.0,1203.0,0.0,0.0,15601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807151,316.0,167.0,4591.0,4.0,0.0,0.0,41247.0,3282.0,0.0,0.0,0.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807152,470.0,196.0,173.0,10.0,0.0,0.0,18989.0,710.0,1.0,0.0,0.0,328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807153,408.0,0.0,1487.0,65.0,17.0,0.0,36259.0,5603.0,0.0,0.0,0.0,50.0,0.0,0.0,22899.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807154,528.0,0.0,560.0,43.0,0.0,0.0,33646.0,692.0,0.0,0.0,0.0,752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807155,345.0,0.0,635.0,7213.0,0.0,0.0,69816.0,515.0,0.0,9.0,0.0,531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807156,270.0,430.0,485.0,0.0,0.0,0.0,59764.0,1620.0,0.0,0.0,0.0,336.0,0.0,0.0,26096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807157,605.0,0.0,455.0,0.0,0.0,0.0,56091.0,1691.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807158,598.0,0.0,441.0,0.0,0.0,0.0,24536.0,1220.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807159,792.0,195.0,341.0,0.0,0.0,0.0,49775.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,31044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807160,754.0,195.0,461.0,37.0,0.0,0.0,38258.0,6853.0,0.0,0.0,0.0,0.0,0.0,0.0,24942.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807161,285.0,187.0,335.0,0.0,0.0,0.0,48852.0,3759.0,4.0,0.0,0.0,1.0,0.0,0.0,36209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807162,280.0,0.0,880.0,140.0,0.0,0.0,34241.0,156.0,0.0,0.0,0.0,287.0,0.0,0.0,28106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807163,526.0,0.0,415.0,109.0,0.0,0.0,34699.0,2004.0,0.0,0.0,0.0,1520.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807164,1842.0,0.0,681.0,3.0,0.0,0.0,12905.0,990.0,1.0,0.0,0.0,1044.0,0.0,0.0,24518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807165,518.0,0.0,573.0,113.0,0.0,0.0,41813.0,167.0,0.0,0.0,0.0,807.0,0.0,0.0,31733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807166,5602.0,0.0,645.0,97.0,0.0,0.0,23070.0,1441.0,0.0,0.0,0.0,29.0,0.0,0.0,17198.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1
SRR11807167,1041.0,123.0,720.0,48.0,0.0,0.0,31450.0,4768.0,0.0,0.0,0.0,91.0,0.0,0.0,18952.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,1
SRR11807168,809.0,197.0,1576.0,25.0,0.0,0.0,109661.0,5650.0,0.0,0.0,0.0,32.0,0.0,0.0,20525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807169,116.0,0.0,528.0,0.0,0.0,0.0,14239.0,671.0,0.0,0.0,0.0,1172.0,0.0,779.0,0.0,0.0,0.0,0.0,0.0,480.0,0.0,1.0,0.0,1
SRR11807170,265.0,0.0,555.0,0.0,0.0,0.0,40344.0,4668.0,0.0,0.0,0.0,2948.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807171,49.0,0.0,1196.0,80.0,0.0,0.0,26154.0,1315.0,0.0,0.0,0.0,1187.0,0.0,2782.0,31622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807172,939.0,262.0,579.0,45.0,0.0,0.0,56593.0,1545.0,0.0,0.0,0.0,2630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807173,0.0,221.0,531.0,9.0,0.0,0.0,22517.0,1397.0,0.0,0.0,0.0,5205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807174,331.0,281.0,502.0,784.0,0.0,0.0,5874.0,1021.0,0.0,0.0,0.0,103.0,0.0,0.0,16584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807175,115.0,0.0,684.0,0.0,0.0,0.0,55981.0,100.0,0.0,0.0,0.0,1629.0,0.0,0.0,34387.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
SRR11807176,698.0,312.0,502.0,0.0,0.0,0.0,27610.0,1474.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
SRR11807177,116.0,0.0,3997.0,0.0,0.0,0.0,101934.0,192.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807178,712.0,77.0,4934.0,0.0,0.0,0.0,7015.0,15.0,0.0,0.0,0.0,8218.0,0.0,2.0,21579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807179,2381.0,0.0,2644.0,61.0,0.0,0.0,6560.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,24763.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
SRR11807180,157.0,372.0,579.0,496.0,0.0,0.0,18847.0,101.0,0.0,0.0,0.0,168.0,0.0,0.0,38271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807181,87.0,225.0,722.0,24.0,0.0,0.0,49815.0,2002.0,0.0,3.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807182,124.0,329.0,448.0,60.0,0.0,0.0,87375.0,4914.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807183,341.0,244.0,1371.0,264.0,0.0,0.0,51096.0,4685.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807184,122.0,0.0,638.0,186.0,0.0,0.0,36709.0,535.0,0.0,0.0,0.0,1652.0,0.0,0.0,37043.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,1
SRR11807185,0.0,232.0,506.0,123.0,0.0,9.0,58516.0,426.0,2.0,0.0,0.0,3069.0,0.0,0.0,30649.0,0.0,0.0,0.0,393.0,0.0,0.0,0.0,0.0,1
SRR11807186,93.0,132.0,1989.0,42.0,0.0,0.0,29631.0,1107.0,0.0,0.0,0.0,2049.0,1.0,0.0,33661.0,0.0,0.0,0.0,986.0,0.0,0.0,0.0,0.0,1
SRR11807187,86.0,0.0,146.0,15276.0,0.0,0.0,727.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,7087.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807188,154.0,0.0,28210.0,0.0,0.0,0.0,15470.0,81.0,0.0,0.0,0.0,15.0,0.0,5.0,25734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807189,524.0,0.0,669.0,0.0,0.0,0.0,10350.0,159.0,2.0,0.0,0.0,0.0,0.0,20.0,29029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807190,184.0,0.0,748.0,0.0,0.0,0.0,22767.0,93.0,0.0,0.0,0.0,675.0,0.0,0.0,38483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807191,571.0,0.0,2215.0,308.0,0.0,0.0,24582.0,33.0,0.0,0.0,0.0,306.0,0.0,5.0,22780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807192,689.0,239.0,698.0,0.0,0.0,0.0,47451.0,516.0,0.0,0.0,0.0,352.0,0.0,0.0,25307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807193,271.0,0.0,507.0,158184.0,0.0,0.0,90806.0,159.0,0.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807194,108.0,94.0,585.0,114.0,0.0,0.0,9903.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0,18707.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1
SRR11807195,370.0,0.0,329.0,197.0,0.0,0.0,27228.0,0.0,6.0,0.0,0.0,508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
SRR11807196,203.0,152.0,273.0,240.0,0.0,0.0,27529.0,38.0,0.0,4.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807197,233.0,309.0,624.0,372.0,0.0,0.0,52339.0,1881.0,2.0,0.0,0.0,52.0,0.0,0.0,34749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1
SRR11807198,530.0,0.0,551.0,0.0,0.0,0.0,19349.0,1252.0,0.0,0.0,0.0,557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807199,31.0,0.0,1351.0,194.0,0.0,0.0,76349.0,1318.0,0.0,3.0,0.0,14.0,0.0,0.0,58799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807200,24.0,0.0,1026.0,218.0,0.0,0.0,79555.0,1479.0,0.0,0.0,0.0,23.0,0.0,0.0,40203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
