acc,Acholeplasmataceae,Acidaminococcaceae,Acidobacteriaceae,Actinomycetaceae,Aerococcaceae,Alicyclobacillaceae,Anaplasmataceae,Aspergillaceae,Atopobiaceae,Bacillaceae,Bacteroidaceae,Bifidobacteriaceae,Blattabacteriaceae,Burkholderiaceae,Campylobacteraceae,Candidatus Midichloriaceae,Carnobacteriaceae,Chromobacteriaceae,Clostridiaceae,Clostridiales Family XII. Incertae Sedis,Clostridiales Family XIII. Incertae Sedis,Coriobacteriaceae,Corynebacteriaceae,Cyclobacteriaceae,Dehalococcoidaceae,Desulfovibrionaceae,Desulfurellaceae,Eggerthellaceae,Elusimicrobiaceae,Enterobacteriaceae,Enterococcaceae,Erwiniaceae,Erysipelotrichaceae,Eubacteriaceae,Francisellaceae,Fusobacteriaceae,Hyphomonadaceae,Lachnospiraceae,Lactobacillaceae,Leptotrichiaceae,Leuconostocaceae,Listeriaceae,Methanobacteriaceae,Methylobacteriaceae,Microbacteriaceae,Micrococcaceae,Moraxellaceae,Mycoplasmataceae,Nautiliaceae,Pasteurellaceae,Peptoniphilaceae,Peptostreptococcaceae,Porphyromonadaceae,Prevotellaceae,Propionibacteriaceae,Pseudomonadaceae,Rhizobiaceae,Rhodocyclaceae,Rickettsiaceae,Rosaceae,Selenomonadaceae,Spirochaetaceae,Spiroplasmataceae,Sporomusaceae,Staphylococcaceae,Streptococcaceae,Synergistaceae,Syntrophomonadaceae,Thermaceae,Veillonellaceae,class
SRR5796779,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,33.0,0.0,0.0,4.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,17.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,6.0,0.0,336.0,80.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,6.0,0.0,2.0,12.0,2.0,18.0,37.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1
SRR5796780,2.0,0.0,0.0,8.0,5.0,0.0,1.0,0.0,3.0,0.0,0.0,313.0,0.0,0.0,2.0,0.0,0.0,0.0,901.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,54.0,0.0,0.0,1.0,0.0,9.0,1.0,0.0,1.0,0.0,8.0,430.0,0.0,16.0,0.0,0.0,2.0,0.0,0.0,63.0,11.0,0.0,0.0,37.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,41.0,48.0,1.0,0.0,0.0,6353.0,1
SRR5796781,2.0,0.0,2.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,1.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,2.0,0.0,2.0,561.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,41.0,1.0,0.0,0.0,69.0,7.0,2.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,44.0,1.0,0.0,0.0,4.0,1
SRR5796782,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,49.0,0.0,1.0,523.0,0.0,0.0,2.0,0.0,0.0,0.0,90.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0,36.0,0.0,0.0,1.0,0.0,156.0,149.0,8.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,0.0,29.0,9.0,30.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,7.0,1
SRR5796783,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,11.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1
SRR5796784,254.0,0.0,0.0,42.0,38.0,0.0,0.0,0.0,4.0,0.0,0.0,587.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,9.0,10.0,0.0,0.0,5.0,0.0,101.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,4.0,0.0,5.0,233.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,26.0,6.0,0.0,0.0,81.0,2.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,1.0,1.0,1
SRR5796785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,381.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,31.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,19.0,8.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,11.0,1
SRR5796786,1.0,0.0,0.0,35.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,468.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,5.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,0.0,0.0,2.0,1
SRR5796787,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,9.0,0.0,10.0,78.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,10.0,1.0,24.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,1
SRR5796788,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,11.0,2.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,32.0,0.0,0.0,0.0,2.0,17.0,1.0,0.0,0.0,1.0,2.0,35.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,15.0,67.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,1
SRR5796789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,134.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,2.0,0.0,5.0,288.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,19.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,35.0,0.0,0.0,0.0,5.0,1
SRR5796790,0.0,0.0,0.0,10.0,13.0,0.0,0.0,0.0,67.0,0.0,0.0,349.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,3.0,0.0,0.0,24.0,0.0,1.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,19.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,10.0,1.0,3.0,46.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,4.0,1
SRR5796791,2.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,38.0,0.0,0.0,1167.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,10.0,0.0,8.0,0.0,0.0,1.0,1.0,2.0,111.0,0.0,17.0,5.0,0.0,0.0,0.0,0.0,79.0,8.0,0.0,0.0,16.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,181.0,1.0,1.0,0.0,416.0,1
SRR5796792,2.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,17.0,0.0,0.0,1513.0,0.0,0.0,0.0,0.0,3.0,1.0,2978.0,0.0,9.0,6.0,0.0,0.0,3.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,9.0,0.0,374.0,342.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,19.0,12.0,59.0,140.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,19.0,5.0,0.0,0.0,3.0,1
SRR5796793,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,111.0,1.0,0.0,0.0,0.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,2.0,13.0,15.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,3.0,1.0,0.0,0.0,1
SRR5796794,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,112.0,0.0,2.0,0.0,0.0,0.0,0.0,167.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,101.0,0.0,0.0,1.0,0.0,6.0,3.0,0.0,11.0,0.0,105.0,125.0,0.0,3.0,0.0,109.0,0.0,0.0,5.0,1.0,6.0,0.0,0.0,13.0,8.0,32.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,11.0,1.0,0.0,1.0,5.0,1
