acc,Actinomycetales,Bacillales,Bacteroidales,Burkholderiales,Campylobacterales,Candidatus Gastranaerophilales,Caulobacterales,Chitinophagales,Clostridiales,Coriobacteriales,Corynebacteriales,Cytophagales,Desulfobacterales,Desulfuromonadales,Eggerthellales,Enterobacterales,Erysipelotrichales,Flavobacteriales,Fusobacteriales,Holosporales,Ignavibacteriales,Lactobacillales,Magnetococcales,Methanobacteriales,Micrococcales,Myxococcales,Nautiliales,Neisseriales,Nitrospirales,Nostocales,Propionibacteriales,Pseudomonadales,Rhizobiales,Rhodobacterales,Rhodospirillales,Sphingomonadales,Spirochaetales,Synergistales,Thiotrichales,Veillonellales,Vibrionales,Xanthomonadales,class
SRR11807130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5040.0,100.0,0.0,0.0,0.0,0.0,492.0,0.0,230.0,0.0,0.0,0.0,0.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807131,57.0,31.0,6089.0,0.0,0.0,0.0,0.0,0.0,5819.0,785.0,0.0,3.0,0.0,0.0,70.0,0.0,568.0,0.0,0.0,0.0,0.0,432.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807132,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,5389.0,1307.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,279.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
SRR11807133,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13680.0,5988.0,0.0,2.0,0.0,0.0,173.0,0.0,1951.0,0.0,1.0,0.0,0.0,757.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807134,39.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,83390.0,47.0,0.0,0.0,1.0,0.0,73.0,0.0,94.0,0.0,0.0,0.0,0.0,1223.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807135,0.0,61.0,274.0,0.0,0.0,0.0,0.0,0.0,53264.0,134.0,0.0,0.0,0.0,0.0,72.0,3521.0,21.0,0.0,0.0,0.0,0.0,783.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
SRR11807136,43.0,321.0,214.0,0.0,0.0,0.0,0.0,0.0,47618.0,29.0,0.0,0.0,0.0,0.0,182.0,3972.0,1.0,0.0,0.0,0.0,0.0,2484.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,1
SRR11807137,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,46867.0,206.0,0.0,0.0,0.0,0.0,359.0,0.0,38.0,0.0,0.0,0.0,0.0,607.0,3.0,0.0,125.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,995.0,0.0,0.0,1
SRR11807138,0.0,45.0,161.0,0.0,0.0,0.0,0.0,0.0,132294.0,171.0,0.0,0.0,0.0,0.0,369.0,0.0,13.0,0.0,0.0,0.0,1.0,2437.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,1
SRR11807139,0.0,116.0,71.0,0.0,0.0,0.0,0.0,0.0,47908.0,68.0,0.0,0.0,0.0,0.0,257.0,6137.0,9.0,0.0,0.0,0.0,0.0,318.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,1
