acc,Bacillales,Bacteroidales,Bifidobacteriales,Burkholderiales,Campylobacterales,Clostridiales,Coriobacteriales,Corynebacteriales,Cucurbitales,Cytophagales,Eggerthellales,Enterobacterales,Erysipelotrichales,Fusobacteriales,Lactobacillales,Legionellales,Micrococcales,Propionibacteriales,Pseudomonadales,Rhizobiales,Rhodobacterales,Xanthomonadales,class
SRR8980817,0.0,0.0,1.0,992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,0.0,0.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
SRR8980818,0.0,0.0,0.0,898.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980819,0.0,0.0,0.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980820,0.0,0.0,0.0,811.0,0.0,95.0,0.0,5.0,0.0,0.0,0.0,242.0,73.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980821,0.0,0.0,0.0,732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1
SRR8980822,0.0,0.0,0.0,847.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,261.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980823,0.0,0.0,0.0,1408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980824,0.0,0.0,0.0,1937.0,0.0,39.0,0.0,1.0,0.0,0.0,0.0,134.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980825,0.0,0.0,0.0,391.0,0.0,3794.0,0.0,0.0,0.0,0.0,0.0,360.0,57.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980826,0.0,0.0,0.0,621.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
SRR8980827,0.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
