acc,Actinobacteria,Alphaproteobacteria,Bacilli,Bacteroidia,Betaproteobacteria,Clostridia,Coriobacteriia,Cytophagia,Epsilonproteobacteria,Erysipelotrichia,Fusobacteriia,Gammaproteobacteria,class
SRR8980831,0.0,57.0,134.0,0.0,975.0,5.0,0.0,0.0,0.0,0.0,0.0,10715.0,1
SRR8980832,0.0,0.0,66.0,0.0,2061.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980833,0.0,0.0,24.0,0.0,877.0,56.0,0.0,0.0,0.0,0.0,0.0,8520.0,1
SRR8980834,0.0,0.0,62.0,0.0,1228.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980835,0.0,5.0,38.0,0.0,958.0,65.0,0.0,0.0,0.0,0.0,0.0,9593.0,1
SRR8980836,4.0,0.0,1.0,0.0,1437.0,0.0,0.0,1.0,0.0,0.0,0.0,9626.0,1
SRR8980837,0.0,0.0,46.0,0.0,1648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980838,0.0,2.0,0.0,0.0,907.0,0.0,0.0,0.0,0.0,0.0,0.0,9193.0,1
SRR8980839,2.0,5.0,7.0,0.0,1049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980840,0.0,0.0,13.0,0.0,928.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,1
