acc,Acidobacteria,Actinobacteria,Armatimonadetes,Ascomycota,Bacteroidetes,Chloroflexi,Deinococcus-Thermus,Elusimicrobia,Euryarchaeota,Firmicutes,Fusobacteria,Proteobacteria,Spirochaetes,Streptophyta,Synergistetes,Tenericutes,Verrucomicrobia,class
SRR5796788,0.0,411.0,0.0,0.0,129.0,5.0,0.0,0.0,0.0,8182.0,2.0,7.0,0.0,0.0,0.0,3.0,0.0,1
SRR5796789,0.0,275.0,0.0,0.0,132.0,1.0,0.0,1.0,0.0,3027.0,2.0,199.0,0.0,0.0,0.0,7.0,3.0,1
SRR5796790,0.0,610.0,0.0,0.0,74.0,2.0,0.0,0.0,0.0,2564.0,7.0,9.0,0.0,0.0,2.0,13.0,0.0,1
SRR5796791,0.0,1658.0,0.0,0.0,202.0,1.0,0.0,0.0,0.0,7471.0,1.0,1123.0,0.0,1.0,1.0,10.0,0.0,1
SRR5796792,0.0,2070.0,0.0,0.0,235.0,7.0,0.0,0.0,0.0,7787.0,9.0,956.0,0.0,9.0,5.0,9.0,0.0,1
SRR5796793,0.0,261.0,0.0,0.0,107.0,1.0,0.0,0.0,0.0,3620.0,0.0,24.0,0.0,0.0,3.0,15.0,6.0,1
SRR5796794,0.0,444.0,0.0,0.0,190.0,1.0,1.0,0.0,109.0,2919.0,11.0,931.0,0.0,0.0,1.0,7.0,0.0,1
SRR5796795,0.0,155.0,0.0,0.0,220.0,1.0,2.0,0.0,0.0,2134.0,4.0,304.0,0.0,0.0,1.0,11.0,0.0,1
SRR5796796,0.0,422.0,0.0,0.0,18.0,5.0,0.0,0.0,0.0,4061.0,0.0,420.0,0.0,0.0,1.0,3.0,1.0,1
SRR5796797,0.0,1989.0,0.0,0.0,93.0,8.0,0.0,1.0,0.0,6134.0,5.0,731.0,0.0,0.0,5.0,18.0,3.0,1
SRR5796798,0.0,226.0,0.0,0.0,1714.0,1.0,0.0,0.0,352.0,3052.0,1.0,2160.0,0.0,0.0,2.0,21.0,6.0,1
SRR5796799,0.0,396.0,0.0,0.0,1126.0,1.0,0.0,0.0,0.0,3842.0,15.0,2597.0,16.0,0.0,6.0,7.0,5.0,1
SRR5796800,0.0,253.0,0.0,0.0,365.0,2.0,0.0,2.0,0.0,2063.0,4.0,5.0,0.0,1.0,0.0,7.0,0.0,1
SRR5796801,0.0,319.0,0.0,1.0,305.0,0.0,0.0,0.0,0.0,5678.0,9.0,794.0,0.0,0.0,1.0,7.0,0.0,1
SRR5796802,0.0,62.0,0.0,0.0,205.0,0.0,0.0,0.0,0.0,1426.0,0.0,1025.0,0.0,0.0,0.0,0.0,2.0,1
SRR5796803,0.0,339.0,0.0,0.0,858.0,0.0,0.0,0.0,0.0,3649.0,5.0,1311.0,0.0,0.0,2.0,10.0,0.0,1
SRR5796804,0.0,83.0,0.0,0.0,445.0,1.0,0.0,0.0,0.0,711.0,0.0,1548.0,0.0,0.0,0.0,1.0,0.0,1
SRR5796805,0.0,65.0,0.0,0.0,205.0,0.0,0.0,1.0,0.0,2301.0,1.0,687.0,0.0,0.0,1.0,1.0,1.0,1
SRR5796806,0.0,322.0,0.0,0.0,320.0,2.0,0.0,0.0,0.0,1753.0,3.0,251.0,0.0,0.0,0.0,3.0,0.0,1
SRR5796807,0.0,164.0,0.0,0.0,115.0,1.0,0.0,0.0,0.0,2006.0,2.0,187.0,0.0,0.0,1.0,2.0,0.0,1
SRR5796808,0.0,296.0,0.0,0.0,198.0,0.0,0.0,0.0,0.0,2878.0,0.0,5.0,0.0,0.0,2.0,12.0,0.0,1
SRR5796809,0.0,245.0,0.0,0.0,467.0,2.0,0.0,0.0,318.0,3416.0,0.0,2097.0,0.0,0.0,2.0,0.0,16.0,1
SRR5796810,0.0,1042.0,0.0,0.0,273.0,0.0,1.0,0.0,0.0,4928.0,13.0,444.0,0.0,0.0,9.0,13.0,1.0,1
SRR5796811,0.0,529.0,0.0,0.0,59.0,1.0,0.0,0.0,0.0,876.0,3.0,657.0,0.0,0.0,1.0,2.0,0.0,1
SRR5796812,0.0,331.0,0.0,0.0,14.0,2.0,0.0,1.0,0.0,3030.0,0.0,2.0,0.0,0.0,3.0,5.0,0.0,1
SRR5796813,0.0,136.0,0.0,0.0,205.0,2.0,0.0,0.0,0.0,3458.0,6.0,2062.0,0.0,0.0,5.0,6.0,1.0,1
SRR5796814,0.0,1880.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,8894.0,10.0,600.0,0.0,1.0,0.0,7.0,0.0,1
SRR5796815,0.0,477.0,0.0,0.0,351.0,5.0,0.0,0.0,0.0,13695.0,8.0,2227.0,0.0,0.0,196.0,71.0,0.0,1
SRR5796816,0.0,507.0,1.0,0.0,66.0,1.0,0.0,0.0,0.0,4001.0,2.0,8007.0,0.0,0.0,20.0,25.0,0.0,1
SRR5796817,0.0,613.0,0.0,1.0,20.0,4.0,0.0,0.0,0.0,7199.0,0.0,481.0,0.0,0.0,2.0,7.0,0.0,1
