acc,Actinobacteria,Alphaproteobacteria,Bacilli,Bacteroidia,Betaproteobacteria,Chitinophagia,Chlamydiia,Clostridia,Coriobacteriia,Cytophagia,Deltaproteobacteria,Epsilonproteobacteria,Erysipelotrichia,Flavobacteriia,Fusobacteriia,Gammaproteobacteria,Magnoliopsida,Mammalia,Methanobacteria,Negativicutes,Spirochaetia,class
SRR12162519,0.0,0.0,26.0,5.0,0.0,0.0,0.0,520.0,130.0,0.0,0.0,0.0,14.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162520,23.0,0.0,59.0,0.0,0.0,0.0,0.0,22.0,3.0,0.0,0.0,0.0,2.0,0.0,37.0,0.0,0.0,9.0,0.0,0.0,0.0,1
SRR12162522,0.0,0.0,0.0,65.0,0.0,0.0,0.0,1251.0,35.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0
SRR12162524,0.0,0.0,0.0,20.0,0.0,0.0,0.0,51.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162525,0.0,0.0,0.0,51.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,1
SRR12162526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162527,0.0,0.0,0.0,67.0,0.0,0.0,0.0,280.0,2.0,0.0,0.0,0.0,28.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162528,0.0,0.0,10.0,3.0,0.0,0.0,0.0,248.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162529,0.0,0.0,10.0,2.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162530,0.0,0.0,0.0,344.0,0.0,0.0,0.0,69.0,12.0,0.0,0.0,0.0,14.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162531,0.0,0.0,15.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162532,0.0,0.0,5.0,0.0,0.0,0.0,0.0,97.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162535,0.0,0.0,16.0,0.0,0.0,0.0,0.0,208.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162536,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162537,0.0,0.0,0.0,110.0,0.0,0.0,0.0,131.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162541,0.0,0.0,0.0,102.0,0.0,0.0,0.0,143.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162542,0.0,0.0,0.0,527.0,0.0,0.0,0.0,174.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162543,0.0,0.0,11.0,4.0,0.0,0.0,0.0,63.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162544,0.0,0.0,6.0,4.0,0.0,0.0,0.0,199.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162545,0.0,0.0,0.0,1.0,0.0,0.0,0.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162547,0.0,0.0,4.0,159.0,0.0,0.0,0.0,272.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162548,0.0,0.0,20.0,68.0,0.0,0.0,0.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162549,0.0,0.0,15.0,43.0,0.0,0.0,0.0,84.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162550,0.0,0.0,8.0,115.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162551,0.0,0.0,0.0,521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162552,0.0,0.0,38.0,226.0,0.0,0.0,0.0,144.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162553,0.0,0.0,0.0,216.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162554,3.0,0.0,5.0,0.0,0.0,0.0,0.0,140.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162555,0.0,0.0,0.0,121.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162556,0.0,0.0,8.0,48.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162557,0.0,0.0,0.0,8.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162558,0.0,0.0,22.0,1.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162560,0.0,0.0,11.0,105.0,0.0,0.0,0.0,168.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162561,0.0,0.0,9.0,204.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162562,0.0,0.0,4.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162563,0.0,0.0,0.0,198.0,0.0,0.0,0.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162564,0.0,0.0,5.0,1.0,0.0,0.0,0.0,141.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162568,0.0,0.0,0.0,173.0,0.0,0.0,0.0,138.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162569,0.0,0.0,5.0,211.0,0.0,0.0,0.0,94.0,4.0,0.0,0.0,0.0,17.0,0.0,0.0,699.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162570,0.0,0.0,30.0,1.0,0.0,0.0,0.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162572,0.0,0.0,0.0,120.0,0.0,0.0,0.0,353.0,18.0,0.0,0.0,0.0,13.0,0.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162573,0.0,0.0,4.0,95.0,0.0,0.0,0.0,91.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162575,0.0,0.0,8.0,0.0,0.0,0.0,0.0,370.0,29.0,0.0,0.0,0.0,13.0,0.0,0.0,74.0,0.0,31.0,0.0,0.0,0.0,1
SRR12162576,0.0,0.0,21.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0
SRR12162577,0.0,0.0,24.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0
SRR12162579,0.0,0.0,27.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0
SRR12162590,8.0,0.0,25.0,124.0,0.0,0.0,0.0,79.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162591,0.0,0.0,12.0,72.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,249.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162592,0.0,0.0,0.0,40.0,0.0,0.0,0.0,206.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,306.0,0.0,0.0,0.0,9.0,0.0,1
SRR12162593,0.0,0.0,0.0,58.0,0.0,0.0,0.0,995.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,37.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162594,0.0,0.0,193.0,3.0,0.0,0.0,0.0,111.0,7.0,0.0,0.0,0.0,37.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162596,0.0,0.0,0.0,74.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162599,0.0,0.0,0.0,880.0,0.0,0.0,0.0,205.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,1
