acc,Acholeplasmatales,Acidaminococcales,Acidobacteriales,Actinomycetales,Bacillales,Bacteroidales,Bifidobacteriales,Burkholderiales,Campylobacterales,Clostridiales,Coriobacteriales,Corynebacteriales,Cytophagales,Dehalococcoidales,Desulfovibrionales,Desulfurellales,Eggerthellales,Elusimicrobiales,Enterobacterales,Entomoplasmatales,Erysipelotrichales,Eurotiales,Flavobacteriales,Fusobacteriales,Lactobacillales,Methanobacteriales,Micrococcales,Mycoplasmatales,Nautiliales,Neisseriales,Pasteurellales,Propionibacteriales,Pseudomonadales,Rhizobiales,Rhodobacterales,Rhodocyclales,Rickettsiales,Rosales,Selenomonadales,Spirochaetales,Synergistales,Thermales,Thiotrichales,Tissierellales,Veillonellales,class
SRR5796777,1.0,0.0,0.0,1.0,8.0,56.0,3.0,2.0,0.0,793.0,9.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,2.0,10.0,0.0,0.0,1.0,78.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,81.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,1
SRR5796778,1.0,0.0,0.0,0.0,2.0,55.0,5.0,1.0,0.0,2254.0,7.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,3.0,36.0,0.0,0.0,4.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,27.0,0.0,1
SRR5796779,2.0,0.0,0.0,0.0,0.0,275.0,33.0,0.0,4.0,4507.0,19.0,2.0,0.0,0.0,2.0,0.0,17.0,0.0,0.0,0.0,23.0,0.0,0.0,7.0,170.0,0.0,2.0,6.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,1
SRR5796780,2.0,0.0,0.0,8.0,72.0,199.0,313.0,0.0,2.0,2334.0,3.0,4.0,0.0,0.0,1.0,0.0,54.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,562.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,65.0,2.0,0.0,0.0,1.0,0.0,15.0,0.0,1.0,0.0,0.0,37.0,6353.0,1
SRR5796781,2.0,0.0,2.0,4.0,8.0,150.0,118.0,0.0,0.0,998.0,0.0,20.0,0.0,0.0,0.0,0.0,24.0,0.0,3.0,0.0,9.0,0.0,0.0,2.0,775.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,41.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,69.0,4.0,1
SRR5796782,0.0,0.0,0.0,5.0,15.0,500.0,523.0,0.0,2.0,2258.0,57.0,2.0,0.0,0.0,0.0,0.0,34.0,0.0,8.0,0.0,36.0,0.0,2.0,9.0,322.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,29.0,7.0,1
SRR5796783,2.0,0.0,0.0,4.0,1.0,67.0,5.0,0.0,1.0,1415.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,62.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,1
SRR5796784,254.0,0.0,0.0,42.0,3.0,308.0,587.0,0.0,0.0,1195.0,13.0,10.0,0.0,0.0,5.0,0.0,101.0,0.0,7.0,0.0,8.0,0.0,1.0,4.0,350.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,81.0,1.0,1
SRR5796785,0.0,0.0,0.0,0.0,5.0,49.0,381.0,0.0,0.0,3824.0,80.0,13.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,119.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,11.0,1
SRR5796786,1.0,0.0,0.0,35.0,1.0,42.0,77.0,0.0,0.0,1446.0,1.0,1.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,77.0,2.0,1
