acc,Acidobacteriota,Actinomycetota,Annelida,Aquificota,Armatimonadota,Arthropoda,Artverviricota,Ascomycota,Bacillota,Bacteroidota,Balneolota,Basidiomycota,Bdellovibrionota,Calditrichota,Campylobacterota,Candidatus Melainabacteria,Candidatus Saccharibacteria,Candidatus Thermoplasmatota,Chlamydiota,Chlorobiota,Chloroflexota,Chlorophyta,Chordata,Chrysiogenota,Ciliophora,Cnidaria,Coprothermobacterota,Cossaviricota,Cressdnaviricota,Cyanobacteriota,Deferribacterota,Deinococcota,Duplornaviricota,Elusimicrobiota,Euryarchaeota,Evosea,Fibrobacterota,Fusobacteriota,Gemmatimonadota,Hofneiviricota,Ignavibacteriota,Kiritimatiellota,Kitrinoviricota,Lentisphaerota,Mollusca,Mycoplasmatota,Myxococcota,Nitrososphaerota,Nitrospinota,Nitrospirota,Nucleocytoviricota,Oomycota,Parabasalia,Peploviricota,Phixviricota,Pisuviricota,Planctomycetota,Preplasmiviricota,Pseudomonadota,Rhodothermota,Spirochaetota,Streptophyta,Synergistota,Thermodesulfobacteriota,Thermomicrobiota,Thermoproteota,Thermotogota,Uroviricota,Verrucomicrobiota,class
SRR27176134,4.0,51281.0,0.0,83.0,0.0,0.0,0.0,12.0,2130659.0,8138044.0,0.0,0.0,0.0,0.0,39.0,0.0,187.0,0.0,0.0,0.0,6.0,0.0,543.0,0.0,0.0,0.0,0.0,0.0,2.0,27.0,0.0,19.0,0.0,0.0,9.0,0.0,17.0,37.0,5.0,8456.0,1.0,0.0,0.0,32607.0,0.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,3.0,55.0,0.0,342286.0,0.0,319.0,686.0,71.0,65364.0,0.0,2.0,29.0,309199.0,36824.0,1
SRR27176135,5.0,160641.0,0.0,0.0,27.0,0.0,0.0,13.0,3069581.0,4376879.0,0.0,0.0,0.0,0.0,167.0,0.0,62.0,0.0,7.0,6.0,13.0,0.0,254675.0,0.0,0.0,0.0,0.0,0.0,2.0,35.0,2.0,47.0,0.0,3.0,2428.0,0.0,4.0,10.0,4.0,3253.0,0.0,26.0,0.0,42162.0,0.0,71.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.0,35.0,56.0,3.0,233694.0,0.0,54.0,1017.0,15546.0,68099.0,0.0,0.0,20.0,416829.0,21947.0,1
SRR27176136,2.0,11742.0,0.0,3.0,0.0,11.0,0.0,0.0,1124411.0,11346218.0,0.0,0.0,0.0,0.0,22.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,1494.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,7.0,0.0,0.0,10.0,0.0,1.0,35.0,0.0,211.0,1.0,0.0,0.0,8467.0,0.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,134.0,393872.0,0.0,3.0,78.0,18.0,49265.0,0.0,0.0,1.0,40794.0,1.0,1
SRR27176137,2.0,73923.0,0.0,0.0,1.0,0.0,0.0,82.0,1253848.0,10060845.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,762.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,37.0,0.0,1489.0,0.0,0.0,0.0,1521.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,1.0,0.0,1.0,40159.0,2.0,3.0,126.0,40.0,61047.0,0.0,0.0,7.0,81278.0,9587.0,1
SRR27176138,3.0,54474.0,0.0,1.0,1.0,0.0,0.0,0.0,4248177.0,9982602.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,18584.0,7.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,29.0,0.0,0.0,670.0,0.0,1.0,11.0,0.0,7784.0,1.0,0.0,0.0,231.0,0.0,36.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,2.0,0.0,0.0,529331.0,0.0,22.0,14.0,26.0,23055.0,0.0,0.0,15.0,248418.0,832.0,1
SRR27176139,12.0,19190.0,0.0,1.0,0.0,0.0,0.0,0.0,2368110.0,10965644.0,0.0,0.0,0.0,0.0,3712.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,672.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,0.0,25.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,1793.0,1.0,0.0,0.0,87331.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,2.0,0.0,19754.0,0.0,5.0,78.0,9.0,53183.0,0.0,0.0,6.0,198083.0,4445.0,1
SRR27176140,1.0,448473.0,0.0,6.0,0.0,0.0,0.0,0.0,2980861.0,9123186.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,411.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,0.0,1.0,0.0,14105.0,0.0,7.0,0.0,1.0,18792.0,0.0,0.0,51.0,46769.0,36.0,1
SRR27176142,6.0,399887.0,0.0,0.0,1.0,0.0,0.0,49.0,3703905.0,12452973.0,0.0,0.0,0.0,0.0,10.0,0.0,26.0,0.0,0.0,2.0,0.0,0.0,5674.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,7.0,0.0,0.0,9.0,0.0,1.0,7.0,0.0,2759.0,0.0,1.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1204.0,1.0,2.0,0.0,54635.0,0.0,13.0,159.0,3.0,25549.0,0.0,0.0,21.0,187112.0,16954.0,1
SRR27176144,17.0,106497.0,0.0,15.0,2.0,0.0,0.0,41.0,2876271.0,5812230.0,1.0,0.0,0.0,0.0,80.0,10.0,19.0,8.0,0.0,75.0,33.0,0.0,34800.0,0.0,0.0,0.0,0.0,0.0,1.0,114.0,1.0,102.0,0.0,0.0,0.0,0.0,28.0,13.0,3.0,10129.0,0.0,0.0,0.0,748.0,0.0,46.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1709.0,5.0,8.0,0.0,365066.0,1.0,106.0,847.0,57.0,158.0,0.0,1.0,35.0,294444.0,112.0,1
SRR27176145,20.0,111112.0,0.0,41.0,22.0,0.0,0.0,264.0,4016541.0,8433897.0,0.0,1.0,0.0,0.0,509.0,2.0,62.0,0.0,0.0,17.0,27.0,0.0,61633.0,0.0,0.0,0.0,0.0,1.0,22.0,209.0,1.0,60.0,0.0,1.0,3735.0,0.0,75.0,358.0,11.0,8666.0,2.0,10.0,0.0,110125.0,0.0,1183.0,41.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,195.0,2.0,27.0,2488.0,75344.0,0.0,168.0,32.0,132.0,89047.0,0.0,0.0,220.0,509921.0,1264.0,1
SRR27176147,128.0,712616.0,0.0,9.0,152.0,45.0,0.0,0.0,4780940.0,1457631.0,0.0,0.0,0.0,0.0,101.0,0.0,235.0,69668.0,1.0,4.0,53.0,0.0,11350.0,3.0,0.0,0.0,0.0,0.0,2.0,239.0,44.0,722.0,0.0,7.0,669.0,0.0,163.0,27.0,7.0,9147.0,6.0,4.0,16.0,11708.0,0.0,97.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.0,5.0,162.0,7.0,81474.0,0.0,180.0,847.0,9708.0,96031.0,1.0,0.0,223.0,585859.0,581379.0,1
SRR27176148,19.0,700402.0,0.0,1.0,79.0,0.0,2.0,0.0,2333830.0,2414961.0,0.0,0.0,0.0,0.0,24.0,0.0,99.0,0.0,0.0,0.0,30.0,0.0,2000.0,0.0,0.0,0.0,0.0,1.0,0.0,84.0,1.0,160.0,0.0,0.0,96.0,0.0,2.0,19.0,44.0,984.0,1.0,0.0,0.0,20.0,0.0,115.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0.0,3.0,0.0,970035.0,0.0,163.0,182.0,193.0,603.0,0.0,1.0,49.0,795816.0,12756278.0,1
SRR27176149,37.0,67123.0,0.0,8.0,11.0,0.0,0.0,0.0,6790653.0,5365137.0,0.0,0.0,10.0,0.0,311.0,0.0,10.0,0.0,0.0,1.0,90.0,0.0,1009.0,0.0,0.0,0.0,0.0,0.0,39.0,67.0,0.0,60.0,0.0,0.0,13971.0,0.0,24.0,44.0,0.0,920.0,1.0,0.0,0.0,21.0,0.0,574.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1931.0,59.0,127.0,0.0,83323.0,0.0,20.0,61.0,127.0,24594.0,0.0,0.0,91.0,503119.0,2222955.0,1
SRR27176150,2.0,140536.0,0.0,2.0,3.0,0.0,0.0,0.0,3952573.0,11495273.0,0.0,0.0,0.0,0.0,1883.0,0.0,98.0,0.0,56.0,7.0,2.0,0.0,18431.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,42.0,0.0,0.0,81.0,0.0,0.0,74.0,1.0,1184.0,2.0,0.0,0.0,244640.0,0.0,27.0,15.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,229.0,5.0,2.0,0.0,1196838.0,2.0,15.0,119.0,23.0,137839.0,0.0,0.0,7.0,570593.0,47.0,1
SRR27176151,5.0,70171.0,0.0,0.0,14.0,0.0,0.0,0.0,4982624.0,4948749.0,0.0,0.0,1.0,0.0,524.0,10.0,226.0,273.0,13.0,9.0,104.0,0.0,4840.0,0.0,0.0,0.0,0.0,0.0,76.0,176.0,14.0,154.0,0.0,0.0,14863.0,0.0,69.0,155.0,36.0,2973.0,5.0,7.0,0.0,34464.0,0.0,410.0,155.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1466.0,17.0,61.0,34.0,703162.0,0.0,202.0,1407.0,7262.0,127615.0,0.0,0.0,32.0,568181.0,300588.0,1
