acc,Actinobacteria,Armatimonadetes,Bacteroidetes,Candidatus Melainabacteria,Chordata,Cyanobacteria,Euryarchaeota,Firmicutes,Fusobacteria,Ignavibacteriae,Nitrospirae,Planctomycetes,Proteobacteria,Spirochaetes,Streptophyta,Synergistetes,Thaumarchaeota,class
SRR11807168,6494.0,0.0,28.0,0.0,0.0,0.0,0.0,138630.0,0.0,0.0,0.0,0.0,37549.0,0.0,0.0,0.0,0.0,1
SRR11807169,793.0,0.0,0.0,0.0,0.0,0.0,0.0,18705.0,779.0,0.0,0.0,0.0,8528.0,1.0,0.0,0.0,0.0,1
SRR11807170,4956.0,0.0,0.0,0.0,0.0,0.0,0.0,54864.0,12.0,0.0,0.0,0.0,10665.0,0.0,0.0,0.0,0.0,1
SRR11807171,1383.0,0.0,216.0,0.0,0.0,0.0,0.0,42241.0,2782.0,0.0,0.0,0.0,45932.0,0.0,0.0,0.0,0.0,1
SRR11807172,2494.0,0.0,741.0,0.0,0.0,0.0,0.0,63115.0,0.0,0.0,0.0,0.0,9505.0,0.0,0.0,0.0,0.0,1
SRR11807173,1401.0,0.0,476.0,0.0,0.0,0.0,0.0,33058.0,0.0,0.0,0.0,0.0,8786.0,0.0,0.0,0.0,0.0,1
SRR11807174,1375.0,0.0,828.0,0.0,0.0,0.0,0.0,11760.0,0.0,0.0,0.0,0.0,26615.0,0.0,0.0,0.0,0.0,1
SRR11807175,234.0,0.0,0.0,0.0,0.0,6.0,0.0,61467.0,0.0,0.0,0.0,0.0,50119.0,1.0,0.0,0.0,0.0,1
SRR11807176,2179.0,0.0,3.0,0.0,0.0,0.0,0.0,34118.0,0.0,0.0,0.0,0.0,10284.0,1.0,0.0,0.0,0.0,1
SRR11807177,319.0,0.0,0.0,0.0,0.0,0.0,0.0,112681.0,21.0,0.0,0.0,0.0,17534.0,0.0,0.0,0.0,0.0,1
SRR11807178,774.0,0.0,0.0,0.0,0.0,0.0,0.0,20999.0,2.0,0.0,0.0,0.0,32552.0,0.0,0.0,0.0,0.0,1
SRR11807179,2442.0,0.0,8981.0,0.0,0.0,0.0,1.0,9640.0,1.0,0.0,0.0,0.0,36168.0,0.0,0.0,0.0,0.0,1
SRR11807180,294.0,0.0,1358.0,0.0,0.0,0.0,0.0,22931.0,0.0,0.0,0.0,0.0,50158.0,0.0,0.0,0.0,0.0,1
SRR11807181,2100.0,0.0,33.0,0.0,0.0,0.0,0.0,64785.0,0.0,0.0,0.0,0.0,10300.0,0.0,0.0,0.0,0.0,1
SRR11807182,5047.0,0.0,68.0,0.0,0.0,0.0,0.0,98008.0,0.0,0.0,0.0,0.0,11105.0,0.0,0.0,0.0,0.0,1
SRR11807183,5043.0,0.0,278.0,0.0,0.0,0.0,0.0,58276.0,0.0,0.0,0.0,0.0,10129.0,0.0,0.0,0.0,0.0,1
SRR11807184,702.0,0.0,211.0,0.0,0.0,0.0,851.0,48404.0,0.0,0.0,0.0,0.0,50176.0,0.0,0.0,0.0,0.0,1
