acc,Acidobacteriia,Actinomycetia,Alphaproteobacteria,Anaerolineae,Aquificae,Bacilli,Bacteroidia,Balneolia,Betaproteobacteria,Blastocatellia,Chitinophagia,Chlamydiia,Chloroflexia,Chthonomonadetes,Clostridia,Coriobacteriia,Cytophagia,Deferribacteres,Deinococci,Deltaproteobacteria,Epsilonproteobacteria,Erysipelotrichia,Flavobacteriia,Fusobacteriia,Gammaproteobacteria,Lentisphaeria,Methanobacteria,Methanomicrobia,Mollicutes,Negativicutes,Nitrososphaeria,Nitrospira,Oligoflexia,Opitutae,Planctomycetia,Rubrobacteria,Saprospiria,Sphingobacteriia,Spirochaetia,Synergistia,Thermodesulfobacteria,Thermoleophilia,Thermoplasmata,Thermoprotei,Thermotogae,Tissierellia,Verrucomicrobiae,Vicinamibacteria,class
SRR17641751,0.0,6.0,1.0,0.0,0.0,2.0,23752.0,0.0,341.0,0.0,0.0,0.0,0.0,0.0,2212.0,43.0,0.0,0.0,0.0,1.0,1.0,22.0,0.0,1.0,112.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
SRR17641752,0.0,452.0,5.0,0.0,0.0,235.0,16841.0,0.0,760.0,0.0,0.0,0.0,0.0,0.0,7244.0,358.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,167.0,0.0,0.0,0.0,0.0,3579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641753,0.0,34.0,2.0,0.0,1.0,553.0,6495.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,4827.0,48.0,0.0,1.0,0.0,125.0,8.0,291.0,0.0,0.0,724.0,0.0,0.0,1.0,0.0,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,77.0,0.0,1
SRR17641754,0.0,40.0,3.0,0.0,0.0,1158.0,10682.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,10459.0,54.0,0.0,0.0,0.0,21.0,0.0,151.0,1.0,0.0,1443.0,0.0,0.0,0.0,0.0,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1
SRR17641755,0.0,19.0,0.0,0.0,0.0,123.0,30327.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,8546.0,68.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1655.0,225.0,0.0,0.0,0.0,0.0,1490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641756,0.0,28.0,0.0,0.0,0.0,1796.0,7122.0,0.0,423.0,0.0,0.0,0.0,0.0,0.0,2404.0,29.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,4416.0,0.0,0.0,0.0,0.0,14858.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1
SRR17641757,0.0,117.0,2.0,0.0,0.0,715.0,15126.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,739.0,77.0,0.0,1.0,0.0,9.0,3.0,8.0,0.0,0.0,461.0,0.0,0.0,0.0,0.0,3226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,1
SRR17641758,0.0,217.0,2.0,0.0,0.0,1722.0,21840.0,0.0,1151.0,0.0,0.0,0.0,0.0,0.0,2599.0,284.0,0.0,0.0,0.0,20.0,10.0,25.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,1332.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,1
SRR17641759,0.0,24.0,0.0,0.0,0.0,269.0,20727.0,0.0,354.0,0.0,0.0,0.0,0.0,0.0,2911.0,2.0,0.0,0.0,0.0,2.0,1.0,5.0,1.0,151.0,336.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641760,0.0,43.0,1.0,0.0,0.0,275.0,21790.0,0.0,7660.0,0.0,0.0,0.0,0.0,0.0,3056.0,71.0,0.0,1.0,0.0,3.0,3.0,8.0,0.0,1579.0,27.0,0.0,0.0,0.0,0.0,1058.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641761,0.0,47.0,1.0,0.0,0.0,93.0,27473.0,0.0,1549.0,0.0,0.0,0.0,0.0,0.0,4940.0,109.0,0.0,0.0,0.0,4.0,5.0,90.0,0.0,4.0,519.0,0.0,0.0,0.0,0.0,1021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0
SRR17641762,0.0,181.0,1.0,0.0,0.0,766.0,18005.0,0.0,733.0,0.0,0.0,0.0,0.0,0.0,13147.0,192.0,0.0,0.0,0.0,0.0,59.0,443.0,0.0,3.0,2157.0,0.0,0.0,0.0,0.0,1365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
